LANGUAGE,"English","French","Italian","Spanish","German","Comment"

STR_SQCTL_INIT, "INITIALIZING SQUAD CONTROL..."
STR_SQCTL_RDY, "SQUAD CONTROL READY"
STR_SQCTL_SQCTL, "Squad Control"
STR_SQCTL_NOGROUP, "<No Group>"
STR_SQCTL_PLAYERGROUP, "PLATOON HQ"
STR_SQCTL_SQNAMEDEF, "SQUAD %1"
STR_SQCTL_GRNAMEDEF, "GROUP %1"
STR_SQCTL_HINT1, "\n\n\n\n\n\n\n\nHINT\n\n1) Move the map around until the black dot is centered on your desired location\n\n2) Select the type of order and click on the 'ISSUE' button to send the order to the selected squad or group"
STR_SQCTL_ADVANCEDORDERS, "<Advanced"
STR_SQCTL_SIMPLEORDERS, "Simple>"
STR_SQCTL_CANCEL, "Cancel"
STR_SQCTL_ISSUE, "ISSUE"
STR_SQCTL_GROUPS, "GROUPS"
STR_SQCTL_SQUADS, "SQUADS"
STR_SQCTL_NOMEN, "\n\nNO MEN\nASSIGNED"
STR_SQCTL_ORDER, "ORDER"
STR_SQCTL_CREATE, "CREATE"
STR_SQCTL_FILTER, "Filter:"
STR_SQCTL_REMOVEFILTER, "Remove filter"
STR_SQCTL_HIDEMAP, "Hide Map"
STR_SQCTL_SHOWMAP, "Show Map"
STR_SQCTL_PLAYER1, "%1 (PLAYER)"
STR_SQCTL_NEWGROUP, "<New Group>"
STR_SQCTL_JOIN, "JOIN"
STR_SQCTL_EMPTY, "EMPTY"
STR_SQCTL_RENAMEERROR, "[SQCTL] ERROR: Name too short"
STR_SQCTL_TRANSFERERROR1, "[SQCTL] ERROR: You can't transfer players"
STR_SQCTL_NOCHANGE, "<No Change>"
STR_SQCTL_SPEED1, "DOUBLE TIME"
STR_SQCTL_SPEED2, "ROUTE STEP"
STR_SQCTL_SPEED3, "ASAP!"
STR_SQCTL_NONE, "None"
STR_SQCTL_ORDERS1a, "On your own"
STR_SQCTL_ORDERS1b, "No orders"
STR_SQCTL_ORDERS2a, "Follow me"
STR_SQCTL_ORDERS2b, "Following"
STR_SQCTL_ORDERS3a, "Halt"
STR_SQCTL_ORDERS3b, "Stopped"
STR_SQCTL_ORDERS4a, "Move here"
STR_SQCTL_ORDERS4b, "Moving"
STR_SQCTL_ORDERS5a, "Sneak here"
STR_SQCTL_ORDERS5b, "Sneaking"
STR_SQCTL_ORDERS6a, "Attack this"
STR_SQCTL_ORDERS6b, "Attacking"
STR_SQCTL_ORDERS7a, "Defend this"
STR_SQCTL_ORDERS7b, "Defending"
STR_SQCTL_ORDERS8a, "Retreat here"
STR_SQCTL_ORDERS8b, "Retreating"
STR_SQCTL_ORDERS9a, "Mount"
STR_SQCTL_ORDERS9b, "Mounting"
STR_SQCTL_ORDERS10a, "Dismount"
STR_SQCTL_ORDERS10b, "Dismounting"
STR_SQCTL_FORMATIONS1, "WEDGE FORMATION"
STR_SQCTL_FORMATIONS2, "FORM LINE"
STR_SQCTL_FORMATIONS3, "FORM VEE"
STR_SQCTL_FORMATIONS4, "STAGGERED COLUMN"
STR_SQCTL_FORMATIONS5, "FORM COLUMN"
STR_SQCTL_BEHAVIORS1, "KEEP YOUR EYES OPEN"
STR_SQCTL_BEHAVIORS2, "PREPARE FOR CONTACT"
STR_SQCTL_BEHAVIORS3, "TAKE IT EASY"
STR_SQCTL_BEHAVIORS4, "KEEP A LOW PROFILE"
STR_SQCTL_BEHAVIORS5, "AT EASE"
STR_SQCTL_COMBATMODES1, "FIRE AT WILL"
STR_SQCTL_COMBATMODES2, "ENGAGE AT WILL"
STR_SQCTL_COMBATMODES3, "HOLD YOUR FIRE"
STR_SQCTL_COMBATMODES4, "DON'T FIRE BACK"
STR_SQCTL_ORDERFREE, "%1, ON YOUR OWN%2"
STR_SQCTL_ORDERHALT, "%1, HALT%2"
STR_SQCTL_ORDERFOLLOW, "%1, FOLLOW ME%2"
STR_SQCTL_ORDERMOVE, "%1, MOVE TO %2%3"
STR_SQCTL_ORDERSNEAK, "%1, SNEAK TO %2%3"
STR_SQCTL_ORDERATTACK, "%1, ATTACK POSITION AT %2%3"
STR_SQCTL_ORDERDEFEND, "%1, DEFEND POSITION AT %2%3"
STR_SQCTL_ORDERRETREAT, "%1, RETREAT TO POSITION AT %2%3"
STR_SQCTL_ORDERMOUNT, "%1, LOAD YOUR VEHICLES%2"
STR_SQCTL_ORDERDISMOUNT, "%1, DISEMBARK%2"
STR_SQCTL_ROGER, "ROGER"
STR_SQCTL_ROGERTOPOS, "ROGER. MOVING TO POSITION"
STR_SQCTL_ROGERSNEAKTOPOS, "ROGER. SNEAKING TO POSITION"
STR_SQCTL_ROGERATTACKING, "ROGER. ATTACKING POSITION"
STR_SQCTL_ROGERDEFENDING "ROGER. DEFENDING POSITION"
STR_SQCTL_ROGERRETREATING "ROGER. RETREATING"
STR_SQCTL_LIGHTINF, "Light Infantry"
STR_SQCTL_MECHINF, "Mechanized Inf."
STR_SQCTL_TANKS, "Tanks"
STR_SQCTL_CHOPPERS, "Helicopters"
STR_SQCTL_PLANES, "Planes"
STR_SQCTL_BOATS, "Boats"
STR_SQCTL_SUPPORT, "Support"
STR_SQCTL_COMMAND, "Command"
STR_SQCTL_MIXED, "Mixed"
